"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.510221380E-1,1.057790565E1,-1.410227895E0,2.037527800E0
4.530235040E-1,1.050128937E1,-1.398256540E0,2.051893473E0
4.550251370E-1,1.043424988E1,-1.376708031E0,2.020767927E0
4.570264700E-1,1.040073013E1,-1.347976685E0,2.004008055E0
4.590278360E-1,1.033847904E1,-1.357553840E0,1.987248063E0
4.610291690E-1,1.028341007E1,-1.324033976E0,1.941756845E0
4.630305020E-1,1.021876526E1,-1.307274103E0,1.934574008E0
4.650321680E-1,1.016369629E1,-1.268965602E0,1.903448462E0
4.670333340E-1,1.007271385E1,-1.237840056E0,1.865140080E0
4.690346670E-1,1.000088596E1,-1.225868702E0,1.802888989E0
4.710362000E-1,9.967366219E0,-1.213897347E0,1.776551962E0
4.730375330E-1,9.926663399E0,-1.185166001E0,1.752609134E0
4.750388660E-1,9.881172180E0,-1.177983165E0,1.704723716E0
4.770402320E-1,9.804554939E0,-1.106154919E0,1.656838179E0
4.790415650E-1,9.778218269E0,-1.094183564E0,1.628106833E0
4.810428980E-1,9.725543976E0,-1.031932473E0,1.601769805E0
4.830442310E-1,9.646533012E0,-9.792584181E-1,1.541913033E0
4.850455640E-1,9.610619545E0,-9.553156495E-1,1.537124395E0
4.870465970E-1,9.548367500E0,-8.930644989E-1,1.508393168E0
4.890484300E-1,9.438231468E0,-8.212362528E-1,1.460507631E0
4.910500300E-1,9.402317047E0,-7.829278708E-1,1.448536277E0
4.930503960E-1,9.311334610E0,-7.110996246E-1,1.412622094E0
4.950514290E-1,9.241900444E0,-6.584255695E-1,1.388679385E0
4.970527620E-1,9.198803902E0,-6.201171875E-1,1.367130876E0
4.990541280E-1,9.119792938E0,-5.650488734E-1,1.355159521E0
5.010554610E-1,9.067118645E0,-5.243461728E-1,1.347976685E0
5.030567940E-1,8.980924606E0,-4.692778587E-1,1.324033976E0
5.050581600E-1,8.911490440E0,-4.213923812E-1,1.319245458E0
5.070598260E-1,8.877970695E0,-3.998439014E-1,1.300091267E0
5.090611590E-1,8.806142807E0,-3.591412306E-1,1.300091267E0
5.110625250E-1,8.753468513E0,-3.328042030E-1,1.292908430E0
5.130650250E-1,8.719948769E0,-3.208328187E-1,1.300091267E0
5.150660580E-1,8.684034348E0,-2.729473412E-1,1.302485466E0
5.170670910E-1,8.655303001E0,-2.609759569E-1,1.304879785E0
5.190684240E-1,8.621783257E0,-2.466102988E-1,1.309668303E0
5.210694570E-1,8.578686714E0,-2.298503816E-1,1.343188167E0
5.230708230E-1,8.571503639E0,-1.987248063E-1,1.343188167E0
5.250716560E-1,8.528407097E0,-1.532335877E-1,1.355159521E0
5.270763220E-1,8.518829346E0,-1.340793967E-1,1.359948039E0
5.290776880E-1,8.485309601E0,-1.532335877E-1,1.383890867E0
5.310790210E-1,8.478127480E0,-1.436564922E-1,1.393467903E0
5.330803210E-1,8.444606781E0,-1.460507661E-1,1.417410731E0
5.350816870E-1,8.427846909E0,-1.412622184E-1,1.422199249E0
5.370829530E-1,8.420664787E0,-1.460507661E-1,1.455719113E0
5.390842860E-1,8.377567291E0,-1.771763414E-1,1.474873304E0
5.410856520E-1,8.365595818E0,-1.795706153E-1,1.486844659E0
5.430869850E-1,8.348835945E0,-2.011190802E-1,1.520364523E0
5.450883180E-1,8.320104599E0,-2.370332032E-1,1.546701550E0
5.470899840E-1,8.303344727E0,-2.633702159E-1,1.551490068E0
5.490908840E-1,8.296162605E0,-2.873129845E-1,1.556278586E0
5.510922840E-1,8.257853508E0,-3.064671755E-1,1.592192769E0
5.530939500E-1,8.248276711E0,-3.160442710E-1,1.587404251E0
5.550955830E-1,8.241093636E0,-3.639297783E-1,1.608952641E0
5.570965830E-1,8.229122162E0,-3.663240373E-1,1.604164124E0
5.590979160E-1,8.207573891E0,-4.094209969E-1,1.594586968E0
5.610992490E-1,8.195602417E0,-4.453351200E-1,1.599375606E0
5.631006150E-1,8.188420296E0,-4.501236677E-1,1.601769805E0
5.651019480E-1,8.150111198E0,-4.884320498E-1,1.582615614E0
5.671032810E-1,8.133351326E0,-5.291347504E-1,1.544307232E0
5.691046470E-1,8.135746002E0,-5.626545548E-1,1.529941559E0
5.711059800E-1,8.102226257E0,-5.937801600E-1,1.525153041E0
5.731061460E-1,8.102226257E0,-6.105400920E-1,1.510787368E0
5.751078120E-1,8.063917160E0,-6.440598965E-1,1.448536277E0
5.771094780E-1,8.037580490E0,-6.488484740E-1,1.403045058E0
5.791107440E-1,8.018425941E0,-6.512427330E-1,1.369525194E0
5.811124100E-1,7.965752125E0,-6.727912426E-1,1.321639657E0
5.831137430E-1,7.929838181E0,-6.871568561E-1,1.259388566E0
5.851153090E-1,7.891529560E0,-6.991282701E-1,1.237840056E0
5.891148420E-1,7.798152924E0,-6.967339516E-1,1.154040456E0
5.911161750E-1,7.769421577E0,-7.230709791E-1,1.137280583E0
5.931175750E-1,7.731113434E0,-6.991282701E-1,1.096577883E0
5.951189080E-1,7.714353561E0,-6.799740195E-1,1.082212210E0
5.971207080E-1,7.673650742E0,-6.727912426E-1,1.034326673E0
5.991220740E-1,7.606611252E0,-6.368771195E-1,9.960182905E-1
6.011230740E-1,7.575485706E0,-6.320885420E-1,9.744698405E-1
6.031244740E-1,7.513234138E0,-6.201171875E-1,9.337671995E-1
6.051258400E-1,7.458166122E0,-5.865973234E-1,8.978530765E-1
6.071271730E-1,7.436617374E0,-5.818088055E-1,8.763045669E-1
6.091285060E-1,7.381549358E0,-5.482889414E-1,8.595446348E-1
6.111298720E-1,7.338452339E0,-5.171633363E-1,8.379961848E-1
6.131312050E-1,7.307326794E0,-5.027977228E-1,8.403904438E-1
6.151324710E-1,7.259441376E0,-4.501236677E-1,8.403904438E-1
6.171341710E-1,7.204372883E0,-4.213923812E-1,8.284190893E-1
6.191355040E-1,7.182824612E0,-3.998439014E-1,8.403904438E-1
6.211368370E-1,7.125361919E0,-3.615354896E-1,8.547561169E-1
6.231381700E-1,7.103813171E0,-3.615354896E-1,8.619389534E-1
