"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.541784560E-1,2.488909364E-1,-6.403474212E-1,1.677961200E-1
2.561797890E-1,2.397279441E-1,-6.427909136E-1,1.726830602E-1
2.581811220E-1,2.268997729E-1,-6.635603309E-1,1.720721871E-1
2.601827880E-1,2.122390121E-1,-6.702798605E-1,1.677961200E-1
2.621841210E-1,2.067412287E-1,-6.721124053E-1,1.714613140E-1
2.641857870E-1,1.963565201E-1,-6.672255397E-1,1.635200828E-1
2.661871200E-1,1.865826845E-1,-6.482886672E-1,1.641309410E-1
2.681884530E-1,1.853609532E-1,-6.415691376E-1,1.610766202E-1
2.701897860E-1,1.780305654E-1,-6.171345711E-1,1.561896950E-1
2.721911190E-1,1.755871177E-1,-5.963650942E-1,1.561896950E-1
2.741924520E-1,1.676458567E-1,-5.633783937E-1,1.470267177E-1
2.761937850E-1,1.597046107E-1,-5.169526339E-1,1.421397924E-1
2.781951180E-1,1.535959691E-1,-4.912963212E-1,1.360311359E-1
2.801964510E-1,1.438221186E-1,-4.357075691E-1,1.317550838E-1
2.821978840E-1,1.364917308E-1,-3.764536381E-1,1.244246960E-1
2.841992170E-1,1.309939474E-1,-3.459104002E-1,1.213703677E-1
2.862006170E-1,1.206092387E-1,-2.732174098E-1,1.158725843E-1
2.901985500E-1,1.028941423E-1,-1.589856297E-1,1.085421965E-1
2.921999500E-1,9.250943363E-2,-8.262746781E-2,9.693576396E-2
2.942013830E-1,8.334644884E-2,-1.993253361E-3,9.510316700E-2
2.962025830E-1,7.784866542E-2,3.893471882E-2,9.510316700E-2
2.982039830E-1,7.112915069E-2,1.165146008E-1,9.082710743E-2
3.002051830E-1,6.502050161E-2,1.531665176E-1,8.899451792E-2
3.022068160E-1,5.646838248E-2,2.264703512E-1,8.532932401E-2
3.042081490E-1,4.425108060E-2,2.875568867E-1,7.616634667E-2
3.062095150E-1,4.241848364E-2,3.174892664E-1,7.860980183E-2
3.082109150E-1,3.630983084E-2,3.785758018E-1,7.799893618E-2
3.102118480E-1,2.409252524E-2,4.378297031E-1,7.250115275E-2
3.122132140E-1,2.409252524E-2,4.628751874E-1,7.189028710E-2
3.142145470E-1,8.210028522E-3,5.111335516E-1,6.944682449E-2
3.162158800E-1,8.210028522E-3,5.471746325E-1,6.822510064E-2
3.182172460E-1,3.323107027E-3,5.667222738E-1,6.883595884E-2
3.202185790E-1,-4.007276148E-3,5.905460119E-1,6.761422753E-2
3.222199120E-1,-7.672467735E-3,6.009307504E-1,6.517077237E-2
3.242212780E-1,-1.194852404E-2,6.198675632E-1,7.005769014E-2
3.262226110E-1,-1.866804063E-2,6.296414137E-1,6.639250368E-2
3.282239110E-1,-2.294410020E-2,6.308631301E-1,6.700336188E-2
3.302252770E-1,-2.844188549E-2,6.351392269E-1,6.700336188E-2
3.322266770E-1,-3.149621189E-2,6.278088093E-1,6.272730976E-2
3.342280100E-1,-3.088534810E-2,6.265870929E-1,6.639250368E-2
3.362293760E-1,-3.882659599E-2,6.125371456E-1,6.639250368E-2
3.382307090E-1,-4.432438314E-2,5.881025791E-1,6.272730976E-2
3.402320090E-1,-4.493524879E-2,5.783287287E-1,6.333817542E-2
3.422333420E-1,-4.676784202E-2,5.557267666E-1,6.883595884E-2
3.442346750E-1,-4.798957333E-2,5.209074020E-1,6.517077237E-2
3.462360080E-1,-5.348736048E-2,5.013597012E-1,6.272730976E-2
3.482423740E-1,-5.287649482E-2,4.671512544E-1,6.272730976E-2
3.502437070E-1,-5.959601328E-2,4.414949119E-1,5.845125020E-2
