"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.463021370E-1,1.229938984E1,-3.160442710E-1,-4.134912491E0
4.483043700E-1,1.232093811E1,-3.615354896E-1,-4.237866402E0
4.503060030E-1,1.225389862E1,-3.854782581E-1,-4.300117493E0
4.523070690E-1,1.213897324E1,-4.429408312E-1,-4.462928295E0
4.543084350E-1,1.220840740E1,-6.105400920E-1,-4.474899769E0
4.563101010E-1,1.224911022E1,-6.703969240E-1,-4.494053841E0
4.583114340E-1,1.235445786E1,-6.895511150E-1,-4.474899769E0
4.603128000E-1,1.235445786E1,-7.158881426E-1,-4.494053841E0
4.623141330E-1,1.242628670E1,-7.110996246E-1,-4.486870766E0
4.643154660E-1,1.246220016E1,-6.727912426E-1,-4.470110893E0
4.663168320E-1,1.245501709E1,-6.727912426E-1,-4.465322495E0
4.683183650E-1,1.257233715E1,-7.374366522E-1,-4.403071404E0
4.703196980E-1,1.270402241E1,-7.350423932E-1,-4.324060440E0
4.723210640E-1,1.271599388E1,-7.254652381E-1,-4.266597748E0
4.743237300E-1,1.283570766E1,-7.158881426E-1,-4.173221111E0
4.763250300E-1,1.297696972E1,-7.254652381E-1,-4.082238674E0
4.783285960E-1,1.303443241E1,-7.063110471E-1,-4.036747456E0
4.803299290E-1,1.319484806E1,-7.254652381E-1,-3.969707727E0
4.843262280E-1,1.365694332E1,-6.751855016E-1,-3.878725290E0
4.863278610E-1,1.372877216E1,-6.584255695E-1,-3.838022470E0
4.883291940E-1,1.385566807E1,-6.703969240E-1,-3.833234072E0
4.903312270E-1,1.419804955E1,-6.464542150E-1,-3.811685562E0
4.923325600E-1,1.437283134E1,-6.344828010E-1,-3.830839634E0
4.943338930E-1,1.452127647E1,-6.392713785E-1,-3.842811108E0
4.963352260E-1,1.482295513E1,-6.057515144E-1,-3.885908127E0
4.983365920E-1,1.511266232E1,-5.842030644E-1,-3.957736254E0
5.003379580E-1,1.525631905E1,-5.818088055E-1,-3.984073162E0
5.023389910E-1,1.556518078E1,-5.530774593E-1,-4.067873001E0
5.043403240E-1,1.568728828E1,-5.267404318E-1,-4.113364220E0
5.063416570E-1,1.596263027E1,-5.027977228E-1,-4.242654800E0
5.083421900E-1,1.624754906E1,-4.884320498E-1,-4.371945858E0
5.103435230E-1,1.639360046E1,-4.764606953E-1,-4.412648678E0
5.123448560E-1,1.667133522E1,-4.620950520E-1,-4.474899769E0
5.143461560E-1,1.696822548E1,-4.046324492E-1,-4.563488007E0
5.163474890E-1,1.707836151E1,-3.711125851E-1,-4.623344421E0
5.183488550E-1,1.727948189E1,-3.184385598E-1,-4.826858044E0
5.203501880E-1,1.749017715E1,-3.375927508E-1,-4.939388752E0
5.223515210E-1,1.757397652E1,-3.280156553E-1,-4.956148624E0
5.243574870E-1,1.777270126E1,-3.184385598E-1,-4.999245644E0
