"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.841990670E-1,1.975782663E-1,-1.071618319E0,4.684481025E-2
2.862004000E-1,2.012434453E-1,-1.068563938E0,4.928827286E-2
2.882017330E-1,2.012434453E-1,-1.058179379E0,5.112086982E-2
2.902030660E-1,1.933021992E-1,-1.065509677E0,5.173173547E-2
2.922055320E-1,1.865826845E-1,-1.057568312E0,5.661865696E-2
2.942068650E-1,1.804740280E-1,-1.052681565E0,6.028384715E-2
2.962082310E-1,1.737545133E-1,-1.052070498E0,5.600779131E-2
2.982095640E-1,1.719219238E-1,-1.039242387E0,6.150557846E-2
3.002108970E-1,1.682567298E-1,-1.036798954E0,6.333817542E-2
3.022122630E-1,1.578720063E-1,-1.038631558E0,6.272730976E-2
3.042136290E-1,1.535959691E-1,-1.036798954E0,6.455990672E-2
3.062149950E-1,1.529850960E-1,-1.021527290E0,6.639250368E-2
3.082163950E-1,1.529850960E-1,-1.004423141E0,6.883595884E-2
3.102177610E-1,1.529850960E-1,-9.995362163E-1,6.883595884E-2
3.122190940E-1,1.456547081E-1,-9.830428362E-1,6.944682449E-2
3.162165600E-1,1.352699995E-1,-9.677711725E-1,7.311201841E-2
3.202162590E-1,1.273287535E-1,-9.457800388E-1,7.127942145E-2
3.222176250E-1,1.303830743E-1,-9.378387928E-1,7.311201841E-2
3.242189580E-1,1.267178953E-1,-9.140150547E-1,7.677720487E-2
3.262205910E-1,1.309939474E-1,-9.054629803E-1,7.616634667E-2
3.282219570E-1,1.322156638E-1,-9.011868834E-1,7.372288406E-2
3.302235570E-1,1.309939474E-1,-8.908022046E-1,7.799893618E-2
3.322249570E-1,1.291613430E-1,-8.810282946E-1,7.922067493E-2
3.342265900E-1,1.389351934E-1,-8.688110113E-1,7.738807797E-2
3.362279560E-1,1.358808577E-1,-8.431547284E-1,7.860980183E-2
3.382293220E-1,1.340482682E-1,-8.327699304E-1,7.983153313E-2
3.402306220E-1,1.407677978E-1,-8.095571399E-1,8.471845835E-2
3.422319550E-1,1.401569247E-1,-7.875660062E-1,8.532932401E-2
3.442332880E-1,1.426003873E-1,-7.808464170E-1,8.655105531E-2
3.462345880E-1,1.401569247E-1,-7.545792460E-1,8.777277917E-2
3.482359210E-1,1.456547081E-1,-7.252576947E-1,9.754662961E-2
3.502372870E-1,1.407677978E-1,-7.160947323E-1,9.327057004E-2
3.522375200E-1,1.352699995E-1,-6.824971437E-1,9.876835346E-2
3.542388530E-1,1.383243203E-1,-6.715015769E-1,9.754662961E-2
3.562401860E-1,1.346591413E-1,-6.476777792E-1,1.024335474E-1
3.582415190E-1,1.383243203E-1,-6.324061751E-1,1.060987413E-1
3.602428520E-1,1.389351934E-1,-6.195780039E-1,1.036552787E-1
3.622441850E-1,1.413786411E-1,-5.994194150E-1,1.042661443E-1
3.642455180E-1,1.389351934E-1,-5.817043185E-1,1.030444205E-1
3.662468840E-1,1.358808577E-1,-5.652109981E-1,1.067096069E-1
3.682481840E-1,1.432112455E-1,-5.511611104E-1,1.079313383E-1
3.702494840E-1,1.444329768E-1,-5.273373127E-1,1.024335474E-1
3.722505500E-1,1.456547081E-1,-5.187852979E-1,1.006009504E-1
3.742518830E-1,1.450438350E-1,-5.029027462E-1,1.122073904E-1
3.762531830E-1,1.401569247E-1,-4.882419705E-1,1.109856665E-1
3.782600490E-1,1.383243203E-1,-4.790790081E-1,9.693576396E-2
3.802614150E-1,1.432112455E-1,-4.528118074E-1,9.510316700E-2
3.822627150E-1,1.426003873E-1,-4.424270988E-1,9.021624923E-2
3.842641150E-1,1.468764395E-1,-4.228793979E-1,8.777277917E-2
3.862654480E-1,1.468764395E-1,-4.014991224E-1,7.555548102E-2
3.882667480E-1,1.462655813E-1,-3.837840259E-1,7.494460791E-2
3.902677810E-1,1.407677978E-1,-3.489647210E-1,6.089471281E-2
3.922693810E-1,1.401569247E-1,-3.184214532E-1,4.989913851E-2
3.942707140E-1,1.389351934E-1,-3.123128116E-1,4.684481025E-2
3.962717470E-1,1.395460516E-1,-2.890999019E-1,3.462750465E-2
3.982730800E-1,1.432112455E-1,-2.768825889E-1,1.019289810E-2
4.002744130E-1,1.487090290E-1,-2.664978802E-1,3.473379882E-3
4.022757790E-1,1.529850960E-1,-2.414524257E-1,-1.546344254E-2
4.042771450E-1,1.590937525E-1,-2.353437841E-1,-1.485257689E-2
4.062785110E-1,1.597046107E-1,-2.096874416E-1,-2.401555702E-2
4.082795770E-1,1.658132672E-1,-1.950266659E-1,-3.928718716E-2
4.102809100E-1,1.658132672E-1,-1.846419722E-1,-4.845016450E-2
4.122822430E-1,1.707001776E-1,-1.663160026E-1,-7.166304439E-2
4.142836090E-1,1.798631549E-1,-1.553204358E-1,-8.204775304E-2
4.162849420E-1,1.761979610E-1,-1.473791748E-1,-8.754553646E-2
4.182862750E-1,1.829174906E-1,-1.339401454E-1,-9.426505864E-2
4.202876080E-1,1.865826845E-1,-1.241663024E-1,-9.976284951E-2
4.222951740E-1,1.865826845E-1,-1.119489968E-1,-1.052606329E-1
4.242966400E-1,1.884152889E-1,-9.545563161E-2,-1.095366925E-1
4.262976730E-1,1.933021992E-1,-9.423390031E-2,-1.077040955E-1
4.282990060E-1,1.975782663E-1,-9.728822857E-2,-1.028171703E-1
4.303003720E-1,1.902478784E-1,-8.568179607E-2,-1.107584238E-1
4.323020380E-1,1.810849011E-1,-7.224275917E-2,-1.150344759E-1
4.343033710E-1,1.798631549E-1,-6.124718115E-2,-1.168670729E-1
4.363047710E-1,1.871935427E-1,-5.758199096E-2,-1.089258268E-1
4.403018710E-1,1.884152889E-1,-3.436911106E-2,-1.052606329E-1
4.423032710E-1,1.908587366E-1,-2.215180546E-2,-9.243246168E-2
4.443046040E-1,1.896370053E-1,-1.115623210E-2,-9.426505864E-2
4.463059370E-1,1.890261322E-1,5.947994534E-3,-8.754553646E-2
4.483081700E-1,1.841392219E-1,3.710212186E-2,-8.326948434E-2
4.503098030E-1,1.841392219E-1,5.237375200E-2,-8.449121565E-2
4.523108690E-1,1.719219238E-1,7.008884102E-2,-7.593910396E-2
4.543122350E-1,1.676458567E-1,7.375403494E-2,-7.410650700E-2
4.563139010E-1,1.658132672E-1,9.452345222E-2,-6.738698483E-2
4.583152340E-1,1.658132672E-1,1.214015260E-1,-6.188920140E-2
4.603166000E-1,1.603154689E-1,1.372840255E-1,-5.944573879E-2
4.623179330E-1,1.615372002E-1,1.647729576E-1,-5.394795164E-2
4.643192660E-1,1.627589464E-1,1.916510314E-1,-4.967189953E-2
4.663206320E-1,1.578720063E-1,2.008140087E-1,-4.539583996E-2
4.683221650E-1,1.627589464E-1,2.191399634E-1,-4.356324300E-2
4.703234980E-1,1.615372002E-1,2.454071641E-1,-4.478497431E-2
4.723248640E-1,1.658132672E-1,2.466289103E-1,-4.173064977E-2
4.743275300E-1,1.731436402E-1,2.655657232E-1,-4.478497431E-2
4.763288300E-1,1.774197072E-1,2.747286856E-1,-4.478497431E-2
4.783323960E-1,1.841392219E-1,2.771721482E-1,-4.417410865E-2
4.803337290E-1,1.878044158E-1,2.906112075E-1,-5.028276145E-2
4.843300280E-1,2.012434453E-1,3.046610951E-1,-6.433266401E-2
4.863316610E-1,2.097955644E-1,3.162675500E-1,-6.921958178E-2
4.883329940E-1,2.104064226E-1,3.235979378E-1,-6.799785793E-2
4.903350270E-1,2.195694000E-1,3.315391839E-1,-7.960429043E-2
4.923363600E-1,2.275106460E-1,3.339826465E-1,-8.876727521E-2
4.943376930E-1,2.250671834E-1,3.376478255E-1,-9.548678994E-2
4.963390260E-1,2.305649668E-1,3.413130045E-1,-1.113692820E-1
4.983403920E-1,2.354519069E-1,3.474216759E-1,-1.150344759E-1
5.003417580E-1,2.446148843E-1,3.614715636E-1,-1.296952367E-1
5.023427910E-1,2.495017946E-1,3.602498472E-1,-1.400799602E-1
5.043441240E-1,2.562213242E-1,3.663584888E-1,-1.486320645E-1
5.063454570E-1,2.684386373E-1,3.742997348E-1,-1.602385044E-1
5.083459900E-1,2.763798833E-1,3.785758018E-1,-1.675688922E-1
5.103473230E-1,2.794342041E-1,3.804083765E-1,-1.748992801E-1
5.123486560E-1,2.947058380E-1,3.926256895E-1,-1.816187948E-1
5.143499560E-1,3.014253676E-1,4.030103981E-1,-1.907817721E-1
5.163512890E-1,3.099774420E-1,4.097299278E-1,-1.962795556E-1
5.183526550E-1,3.136426508E-1,4.091190398E-1,-1.999447495E-1
5.203539880E-1,3.154752553E-1,4.023995399E-1,-2.097185999E-1
5.223553210E-1,3.130317926E-1,4.017886519E-1,-2.103294581E-1
5.243612870E-1,3.283033967E-1,4.133951068E-1,-2.109403163E-1
5.263626200E-1,3.313577473E-1,4.188929200E-1,-2.084968537E-1
5.283640200E-1,3.362446725E-1,4.317210615E-1,-2.127729207E-1
5.303653860E-1,3.441859186E-1,4.372188747E-1,-2.133837938E-1
5.323667190E-1,3.447967768E-1,4.421057701E-1,-2.121620476E-1
5.343667190E-1,3.539597392E-1,4.463818371E-1,-2.091077268E-1
5.363681190E-1,3.570140600E-1,4.549339712E-1,-2.072751373E-1
5.403685850E-1,3.741183281E-1,4.714273214E-1,-2.036099434E-1
5.423699850E-1,3.783943653E-1,4.805903137E-1,-1.962795556E-1
5.443712850E-1,3.771726489E-1,4.921967089E-1,-1.938360929E-1
5.463726180E-1,3.845030069E-1,5.093009472E-1,-1.907817721E-1
5.483740180E-1,3.869464695E-1,5.178530812E-1,-1.920034885E-1
5.503746840E-1,3.961094618E-1,5.367898941E-1,-1.846731156E-1
5.523759840E-1,3.985529244E-1,5.600027442E-1,-1.840622574E-1
5.543773500E-1,3.936659992E-1,5.709983706E-1,-1.785644740E-1
5.563786830E-1,3.936659992E-1,6.021524668E-1,-1.736775339E-1
5.583800160E-1,3.912225366E-1,6.308631301E-1,-1.767318696E-1
5.603813490E-1,3.912225366E-1,6.424695849E-1,-1.706232131E-1
5.623829820E-1,3.814486861E-1,6.754562855E-1,-1.632928252E-1
5.643843150E-1,3.759509027E-1,7.023343444E-1,-1.516863853E-1
5.663856480E-1,3.692313731E-1,7.218821049E-1,-1.474103332E-1
5.683869480E-1,3.564032316E-1,7.487601042E-1,-1.425234079E-1
5.703882810E-1,3.472402394E-1,7.860229015E-1,-1.333604306E-1
5.723899140E-1,3.411315978E-1,7.982402444E-1,-1.303061098E-1
5.743912140E-1,3.325794637E-1,8.275617957E-1,-1.241974533E-1
5.763925470E-1,3.246382177E-1,8.355029821E-1,-1.223648638E-1
5.783938800E-1,3.179186881E-1,8.605484366E-1,-1.095366925E-1
5.803973800E-1,3.063122630E-1,8.782635331E-1,-1.003737077E-1
5.823987130E-1,3.038688004E-1,8.843721747E-1,-9.548678994E-2
5.863967790E-1,2.971493006E-1,9.088068008E-1,-8.021515608E-2
5.883981790E-1,3.014253676E-1,9.081959724E-1,-7.654996216E-2
5.903994790E-1,2.989818752E-1,9.216350317E-1,-6.677612662E-2
5.924007790E-1,3.026470542E-1,9.301871061E-1,-6.433266401E-2
5.944021450E-1,3.002036214E-1,9.332414269E-1,-5.822401121E-2
5.964034780E-1,2.910406590E-1,9.466804862E-1,-4.906103015E-2
5.984048110E-1,2.940949798E-1,9.552326202E-1,-4.906103015E-2
6.004062110E-1,2.879863083E-1,9.656172991E-1,-4.600670561E-2
6.024075110E-1,2.849319875E-1,9.778345823E-1,-4.234151542E-2
6.044088440E-1,2.867645919E-1,9.851650000E-1,-3.745459020E-2
6.064102100E-1,2.818776667E-1,9.918845296E-1,-3.623285890E-2
6.084115430E-1,2.788233459E-1,9.937170744E-1,-2.951334417E-2
6.104128430E-1,2.757690251E-1,9.979931712E-1,-2.890247665E-2
6.124146430E-1,2.714929581E-1,9.986039996E-1,-2.829161286E-2
6.144159430E-1,2.629408240E-1,1.006545305E0,-2.584815212E-2
6.164172760E-1,2.617191076E-1,1.008988738E0,-2.401555702E-2
6.184186420E-1,2.531670034E-1,1.000436544E0,-2.951334417E-2
6.204200080E-1,2.488909364E-1,1.005934358E0,-2.584815212E-2
6.224213080E-1,2.440040112E-1,1.005934358E0,-1.546344254E-2
6.244226410E-1,2.421714216E-1,1.000436544E0,-6.911329459E-3
6.264255740E-1,2.354519069E-1,9.986039996E-1,-8.026768919E-4
6.284269070E-1,2.354519069E-1,9.912736416E-1,8.360302076E-3
6.304282730E-1,2.378953546E-1,9.821106791E-1,2.485366166E-2
6.324293390E-1,2.366736233E-1,9.753910899E-1,3.462750465E-2
6.344307390E-1,2.299541235E-1,9.656172991E-1,5.661865696E-2
6.364321050E-1,2.220128626E-1,9.448478818E-1,7.922067493E-2
6.384334050E-1,2.287323773E-1,9.295762181E-1,8.899451792E-2
6.424339710E-1,1.963565201E-1,9.075850844E-1,1.396963298E-1
6.444353040E-1,1.896370053E-1,9.057524800E-1,1.513027698E-1
6.464366370E-1,1.761979610E-1,8.862048388E-1,1.769591123E-1
6.484379700E-1,1.707001776E-1,8.800961375E-1,1.910089999E-1
6.504393030E-1,1.560394168E-1,8.611593843E-1,2.166653425E-1
6.524403690E-1,1.462655813E-1,8.495529294E-1,2.417108268E-1
6.544416690E-1,1.383243203E-1,8.428333998E-1,2.508738041E-1
6.564430020E-1,1.297722161E-1,8.403899074E-1,2.716432214E-1
6.584443680E-1,1.206092387E-1,8.257291317E-1,2.826387882E-1
6.604457010E-1,1.218309626E-1,8.251183033E-1,2.875257134E-1
6.624470670E-1,1.059484705E-1,8.202313781E-1,2.893583179E-1
6.644484670E-1,1.206092387E-1,7.896881104E-1,2.875257134E-1
6.664495000E-1,1.077810675E-1,8.019053936E-1,2.856931090E-1
6.684508330E-1,9.495289624E-2,8.165661693E-1,2.863039970E-1
6.704522330E-1,8.640077710E-2,8.232856989E-1,2.869148552E-1
6.724531330E-1,8.334644884E-2,8.171770573E-1,2.826387882E-1
6.744544990E-1,8.212472498E-2,8.147335649E-1,2.783627212E-1
6.764558650E-1,8.517904580E-2,8.061814308E-1,2.771410346E-1
6.784571980E-1,8.823337406E-2,7.994619608E-1,2.771410346E-1
6.804585310E-1,8.029212803E-2,7.951859236E-1,2.753084004E-1
6.824598970E-1,7.662694156E-2,7.945750356E-1,2.820279300E-1
6.844612300E-1,9.617462009E-2,7.585340142E-1,2.801953554E-1
6.884623620E-1,7.479434460E-2,7.854120731E-1,2.875257134E-1
6.904636950E-1,5.830097944E-2,8.092357516E-1,2.844713926E-1
6.924650280E-1,6.318789721E-2,8.092357516E-1,3.040190637E-1
6.944663940E-1,6.440962851E-2,8.043488860E-1,3.052408099E-1
6.964677270E-1,6.685309857E-2,8.055706024E-1,2.960778177E-1
6.984690600E-1,6.013357639E-2,8.074032068E-1,2.936343551E-1
7.004723260E-1,4.852713272E-2,8.251183033E-1,2.887474298E-1
7.024736590E-1,4.302934557E-2,8.489420414E-1,2.728649676E-1
7.044749920E-1,4.547280818E-2,8.538289666E-1,2.612585127E-1
7.064763250E-1,3.814242408E-2,8.593267202E-1,2.435434312E-1
7.084776580E-1,3.875329345E-2,8.733766675E-1,2.239957303E-1
7.104837240E-1,3.630983084E-2,8.770418167E-1,2.087241113E-1
7.124853900E-1,3.997502103E-2,8.862048388E-1,1.849003583E-1
7.144867560E-1,4.302934557E-2,8.776527047E-1,1.433615237E-1
7.164880890E-1,5.035972968E-2,8.691005707E-1,1.170943156E-1
7.184894220E-1,7.051828504E-2,8.196204901E-1,6.333817542E-2
7.204907550E-1,6.807482243E-2,8.141227365E-1,4.379048571E-2
7.224921210E-1,6.074443832E-2,8.086249232E-1,1.263635792E-2
7.244934540E-1,4.913800210E-2,8.037379980E-1,-3.317853436E-2
7.264983870E-1,5.402491987E-2,7.896881104E-1,-5.578054860E-2
7.285001200E-1,5.646838248E-2,7.554796934E-1,-9.182160348E-2
7.305014200E-1,6.318789721E-2,7.096647620E-1,-1.370256245E-1
7.325027530E-1,8.029212803E-2,6.620172858E-1,-1.669580191E-1
7.345041190E-1,9.128770232E-2,6.259762049E-1,-2.133837938E-1
7.365054190E-1,9.739635140E-2,6.045959592E-1,-2.292662859E-1
7.385067520E-1,9.312029928E-2,5.972655416E-1,-2.353749275E-1
7.405081180E-1,8.456818759E-2,5.789395571E-1,-2.365966588E-1
7.425094840E-1,9.617462009E-2,5.422876477E-1,-2.433161736E-1
7.445105840E-1,9.983981401E-2,5.288486481E-1,-2.451487780E-1
7.465119170E-1,1.242744252E-1,4.958619177E-1,-2.463704944E-1
7.485132500E-1,1.309939474E-1,4.781468213E-1,-2.427053005E-1
7.505145830E-1,1.505416334E-1,4.494361579E-1,-2.384292632E-1
7.525159490E-1,1.639806628E-1,4.243906736E-1,-2.310988754E-1
7.545172490E-1,1.743653715E-1,4.268341362E-1,-2.231576294E-1
7.565192820E-1,1.896370053E-1,3.981234729E-1,-2.115511894E-1
7.585206820E-1,1.920804679E-1,3.859061897E-1,-2.011664808E-1
7.625213820E-1,2.018543035E-1,3.565846682E-1,-1.816187948E-1
7.645227480E-1,1.994108558E-1,3.455890715E-1,-1.651254296E-1
7.665240810E-1,2.012434453E-1,3.407021463E-1,-1.498537958E-1
7.685254140E-1,2.012434453E-1,3.205436170E-1,-1.351930201E-1
7.725233800E-1,1.823066324E-1,2.942763865E-1,-1.046497673E-1
7.745247130E-1,1.682567298E-1,2.686200440E-1,-8.388034999E-2
