"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.862729390E-1,-1.078543738E-1,1.162315965E0,1.879546791E-1
3.882743050E-1,-1.041891798E-1,1.162926793E0,1.965067834E-1
3.902756380E-1,-1.041891798E-1,1.164759398E0,1.977285296E-1
3.922769710E-1,-1.017457098E-1,1.172089696E0,2.013937235E-1
3.942783370E-1,-9.746965766E-2,1.180031061E0,2.062806338E-1
3.962796700E-1,-6.998071820E-2,1.222791553E0,2.136110216E-1
3.982869360E-1,-4.921130463E-2,1.246615410E0,2.233848721E-1
4.002883020E-1,-4.432438314E-2,1.255167484E0,2.294935137E-1
4.022889020E-1,-4.065919295E-2,1.231343627E0,2.276609242E-1
4.042902350E-1,-4.310265183E-2,1.191637397E0,2.197196782E-1
4.062916010E-1,-4.127005860E-2,1.173311472E0,2.209414095E-1
4.082928670E-1,-3.638313338E-2,1.137270331E0,2.221631259E-1
4.102942000E-1,-4.249178618E-2,1.129329205E0,2.166653425E-1
4.122955660E-1,-3.516140208E-2,1.114668489E0,2.209414095E-1
4.142968990E-1,-2.844188549E-2,1.101229429E0,2.246066034E-1
4.162982320E-1,-2.844188549E-2,1.100007653E0,2.270500660E-1
4.182993650E-1,-2.172236890E-2,1.088401198E0,2.258283198E-1
4.203004650E-1,-1.439198479E-2,1.063355684E0,2.276609242E-1
4.223017980E-1,-1.378112007E-2,1.064577460E0,2.294935137E-1
4.243041310E-1,-1.072679367E-2,1.060301423E0,2.270500660E-1
4.263054640E-1,-2.785545541E-3,1.063355684E0,2.264391929E-1
4.283067970E-1,-1.563815051E-3,1.069464326E0,2.221631259E-1
4.303081630E-1,4.544837400E-3,1.071907878E0,2.276609242E-1
4.323092630E-1,7.599163335E-3,1.069464326E0,2.307152599E-1
4.343105960E-1,1.492954604E-2,1.057247043E0,2.307152599E-1
4.363119290E-1,5.766567774E-3,1.057247043E0,2.203305364E-1
4.383132620E-1,2.687807137E-4,1.050527573E0,2.148327529E-1
4.403145950E-1,-3.420845314E-4,1.056025386E0,2.068915069E-1
4.423159280E-1,8.796459297E-4,1.067631841E0,2.111675590E-1
4.443174940E-1,8.796459297E-4,1.067631841E0,2.062806338E-1
4.463188600E-1,-8.894198574E-3,1.067631841E0,2.026154548E-1
4.483201930E-1,-1.439198479E-2,1.056636214E0,1.928416044E-1
4.503215260E-1,-1.744631119E-2,1.059079766E0,1.922307462E-1
4.523228920E-1,-2.538755909E-2,1.058468819E0,1.879546791E-1
4.543242250E-1,-3.455053642E-2,1.068242669E0,1.830677688E-1
4.563255580E-1,-3.332880884E-2,1.070075154E0,1.824568957E-1
4.603215910E-1,-4.004832357E-2,1.059079766E0,1.745156497E-1
4.623229240E-1,-5.104389787E-2,1.048694968E0,1.671852767E-1
4.643242900E-1,-5.776341632E-2,1.043197155E0,1.568005532E-1
4.663263560E-1,-6.081774458E-2,1.032812476E0,1.592440158E-1
4.683274560E-1,-7.181331515E-2,1.032812476E0,1.598548889E-1
4.703288220E-1,-7.731110603E-2,1.034644961E0,1.568005532E-1
4.723301550E-1,-7.486764342E-2,1.033423305E0,1.592440158E-1
4.743314880E-1,-7.608937472E-2,1.054192781E0,1.586331427E-1
4.763328540E-1,-7.914370298E-2,1.063355684E0,1.671852767E-1
4.783344200E-1,-8.158716559E-2,1.059690595E0,1.629092097E-1
4.803359860E-1,-8.036543429E-2,1.075572968E0,1.665744036E-1
4.823373520E-1,-8.036543429E-2,1.079849124E0,1.696287245E-1
4.843379520E-1,-7.975456864E-2,1.084125161E0,1.665744036E-1
4.863392850E-1,-7.670024037E-2,1.092066407E0,1.635200828E-1
4.883406510E-1,-7.670024037E-2,1.096342444E0,1.671852767E-1
4.903419840E-1,-7.975456864E-2,1.095120668E0,1.696287245E-1
4.923435500E-1,-7.486764342E-2,1.099396706E0,1.647417992E-1
4.943449160E-1,-7.425678521E-2,1.100007653E0,1.659635305E-1
4.963462490E-1,-6.692639738E-2,1.085957766E0,1.622983366E-1
4.983475820E-1,-6.203947589E-2,1.078627348E0,1.635200828E-1
5.003489480E-1,-6.142860651E-2,1.079238296E0,1.635200828E-1
5.023500480E-1,-4.798957333E-2,1.062134027E0,1.635200828E-1
5.043542480E-1,-4.676784202E-2,1.049916744E0,1.586331427E-1
5.063553140E-1,-4.127005860E-2,1.043808103E0,1.574114263E-1
5.083566470E-1,-3.210707754E-2,1.024871230E0,1.543571055E-1
5.103579800E-1,-2.966361679E-2,1.010210395E0,1.537462324E-1
5.123593130E-1,-1.805717684E-2,9.888302088E-1,1.513027698E-1
5.143606460E-1,-2.174680121E-3,9.613412619E-1,1.500810385E-1
5.163619790E-1,4.544837400E-3,9.485130906E-1,1.488593072E-1
5.183633120E-1,1.676214300E-2,9.265218973E-1,1.494701654E-1
5.203646450E-1,3.020117804E-2,9.045307636E-1,1.488593072E-1
