"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.667679480E-1,4.278744459E-1,-3.110910654E-1,-3.367785513E-1
4.687686140E-1,4.370374382E-1,-3.294170201E-1,-3.434980810E-1
4.707699470E-1,4.376482964E-1,-3.465212286E-1,-3.404437602E-1
4.727712800E-1,4.504764676E-1,-3.666798174E-1,-3.453306854E-1
4.747726460E-1,4.516982138E-1,-3.862274885E-1,-3.441089392E-1
4.767739790E-1,4.602503181E-1,-4.014991224E-1,-3.441089392E-1
4.787753120E-1,4.700241387E-1,-4.326532483E-1,-3.398328722E-1
4.807766780E-1,4.743002057E-1,-4.503683448E-1,-3.349459469E-1
4.827773110E-1,4.828523397E-1,-4.784681499E-1,-3.294481933E-1
4.847786440E-1,4.877392650E-1,-5.157309175E-1,-3.227286637E-1
4.867800100E-1,4.883500934E-1,-5.346677303E-1,-3.221178055E-1
4.887813430E-1,5.048434734E-1,-5.810934901E-1,-3.153982759E-1
4.907826760E-1,5.176716447E-1,-6.299626827E-1,-3.025701046E-1
4.927840090E-1,5.195041895E-1,-6.550081968E-1,-2.995157838E-1
4.947853420E-1,5.250020027E-1,-6.953253150E-1,-2.964614630E-1
4.967866750E-1,5.256128907E-1,-7.331990004E-1,-2.927962542E-1
4.987880080E-1,5.231694579E-1,-7.460271120E-1,-2.891310751E-1
5.007893410E-1,5.243911743E-1,-7.649639249E-1,-2.836332619E-1
5.027907070E-1,5.201151371E-1,-7.802355886E-1,-2.830224335E-1
5.047920400E-1,5.146173239E-1,-7.918420434E-1,-2.793572247E-1
5.067933730E-1,4.950696528E-1,-8.028376102E-1,-2.720268667E-1
5.087947390E-1,4.950696528E-1,-8.065028191E-1,-2.689725459E-1
5.107960720E-1,4.840740561E-1,-8.089462519E-1,-2.714159787E-1
5.127974050E-1,4.700241387E-1,-8.083353639E-1,-2.726377249E-1
5.147987710E-1,4.651372433E-1,-8.095571399E-1,-2.738594413E-1
5.168001040E-1,4.474221468E-1,-8.107787967E-1,-2.750811875E-1
5.188055370E-1,4.345939755E-1,-8.095571399E-1,-2.793572247E-1
5.208069030E-1,4.309287667E-1,-8.107787967E-1,-2.818006873E-1
5.228082360E-1,4.229875207E-1,-8.126114607E-1,-2.824115455E-1
5.248095690E-1,4.138245583E-1,-8.077244759E-1,-2.885202169E-1
5.268109350E-1,4.101593494E-1,-8.199418187E-1,-2.915745378E-1
5.288122680E-1,3.979420364E-1,-8.156657815E-1,-3.037918508E-1
5.308136010E-1,4.009963572E-1,-8.144440055E-1,-3.068461716E-1
5.328149670E-1,3.967203498E-1,-8.168874979E-1,-3.147874177E-1
5.348163000E-1,3.936659992E-1,-8.156657815E-1,-3.221178055E-1
5.368176330E-1,3.954986036E-1,-8.168874979E-1,-3.306699097E-1
5.388189990E-1,3.881682158E-1,-8.052810431E-1,-3.270047307E-1
5.408203320E-1,3.906116784E-1,-8.077244759E-1,-3.257829845E-1
5.428216650E-1,3.942768574E-1,-8.058919311E-1,-3.239503801E-1
5.448226980E-1,4.009963572E-1,-8.168874979E-1,-3.178417385E-1
5.468240310E-1,4.089376330E-1,-8.229961395E-1,-3.099004924E-1
5.488253640E-1,4.174897373E-1,-8.229961395E-1,-3.099004924E-1
5.508267300E-1,4.327613711E-1,-8.272722363E-1,-3.080678880E-1
5.528280630E-1,4.400917590E-1,-8.346025944E-1,-3.025701046E-1
5.548293960E-1,4.516982138E-1,-8.523176908E-1,-2.952397168E-1
5.568304620E-1,4.651372433E-1,-8.743088245E-1,-2.872984707E-1
5.588317950E-1,4.736893177E-1,-8.865261078E-1,-2.836332619E-1
5.608331280E-1,4.822414517E-1,-9.140150547E-1,-2.799681127E-1
5.628344610E-1,4.926261604E-1,-9.329519272E-1,-2.756920457E-1
5.648357940E-1,4.962913394E-1,-9.433366060E-1,-2.695833743E-1
5.668371270E-1,5.072869062E-1,-9.586082101E-1,-2.573660910E-1
5.688384600E-1,5.219476819E-1,-9.732689857E-1,-2.384292632E-1
5.708397930E-1,5.317215323E-1,-9.738798738E-1,-2.219358981E-1
5.728411590E-1,5.555452704E-1,-9.720472693E-1,-1.950578243E-1
5.748424920E-1,5.640974045E-1,-9.854863286E-1,-1.907817721E-1
5.768438250E-1,5.628756881E-1,-1.007477403E0,-1.968904287E-1
5.808424240E-1,5.537127256E-1,-1.048405409E0,-2.109403163E-1
5.828437570E-1,5.402736664E-1,-1.063066125E0,-2.152163833E-1
5.848451230E-1,5.311106443E-1,-1.085057378E0,-2.121620476E-1
5.868464560E-1,5.201151371E-1,-1.091776848E0,-2.158272415E-1
5.888477890E-1,5.024000406E-1,-1.099718094E0,-2.152163833E-1
5.908515890E-1,4.804088771E-1,-1.114378929E0,-2.194924355E-1
5.928529220E-1,4.651372433E-1,-1.116822243E0,-2.176598310E-1
5.948542550E-1,4.345939755E-1,-1.124763608E0,-2.256010920E-1
5.968556210E-1,4.168788791E-1,-1.131483078E0,-2.268228084E-1
5.988569540E-1,3.845030069E-1,-1.140035152E0,-2.341531962E-1
6.008582870E-1,3.496837020E-1,-1.140646100E0,-2.372075170E-1
6.028593530E-1,3.380772769E-1,-1.136980891E0,-2.384292632E-1
6.048610190E-1,3.032579422E-1,-1.122320056E0,-2.384292632E-1
6.068623520E-1,2.800450623E-1,-1.121709228E0,-2.329314798E-1
6.088637180E-1,2.684386373E-1,-1.110713601E0,-2.310988754E-1
6.108650510E-1,2.501126826E-1,-1.087500811E0,-2.268228084E-1
6.128663840E-1,2.366736233E-1,-1.064898849E0,-2.164381146E-1
6.148677500E-1,2.244563252E-1,-1.055735826E0,-2.121620476E-1
6.168693830E-1,2.201802731E-1,-1.039853215E0,-2.066642642E-1
6.188707160E-1,2.030760348E-1,-1.012364388E0,-1.987230182E-1
6.208720820E-1,1.969673932E-1,-1.000757933E0,-1.938360929E-1
6.228734150E-1,2.018543035E-1,-9.805993438E-1,-1.852839887E-1
6.248747480E-1,2.018543035E-1,-9.708255529E-1,-1.791753173E-1
