"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.801311300E-1,9.653716087E0,-1.517970204E0,1.156434774E0
3.821324630E-1,9.668081284E0,-1.515576005E0,1.161223292E0
3.841337960E-1,9.653716087E0,-1.529941559E0,1.149251938E0
3.861351620E-1,9.672870636E0,-1.529941559E0,1.139674783E0
3.881364950E-1,9.699207306E0,-1.520364523E0,1.161223292E0
3.901381610E-1,9.730332375E0,-1.513181686E0,1.192348838E0
3.921395270E-1,9.751881599E0,-1.496421814E0,1.204320192E0
3.941408600E-1,9.766246796E0,-1.470084786E0,1.240234375E0
3.961421930E-1,9.773429871E0,-1.438959122E0,1.297696948E0
3.981442590E-1,9.771035194E0,-1.410227895E0,1.343188167E0
4.001455920E-1,9.797372818E0,-1.379102230E0,1.419804931E0
4.021469250E-1,9.787795067E0,-1.340793848E0,1.486844659E0
4.041482910E-1,9.780612946E0,-1.321639657E0,1.529941559E0
4.061496240E-1,9.687235832E0,-1.319245458E0,1.577827096E0
4.081516570E-1,9.682447433E0,-1.338399649E0,1.601769805E0
4.101530230E-1,9.658504486E0,-1.336005330E0,1.606558442E0
4.121543560E-1,9.610619545E0,-1.345582485E0,1.596981287E0
4.141556890E-1,9.593858719E0,-1.350371003E0,1.551490068E0
4.161570550E-1,9.560338974E0,-1.350371003E0,1.458113313E0
4.181583880E-1,9.569916725E0,-1.352765322E0,1.393467903E0
4.221603210E-1,9.462174416E0,-1.326428294E0,1.233051538E0
4.241616540E-1,9.380768776E0,-1.319245458E0,1.130097747E0
4.261629870E-1,9.335277557E0,-1.336005330E0,1.091789365E0
4.281642530E-1,9.308940887E0,-1.338399649E0,1.022355318E0
4.301655860E-1,9.349642754E0,-1.328822494E0,9.505270720E-1
4.321669520E-1,9.359220505E0,-1.266571403E0,8.451790214E-1
4.341682850E-1,9.284997940E0,-1.249811411E0,7.901107073E-1
4.361696180E-1,9.258660316E0,-1.240234375E0,7.589851022E-1
4.381709840E-1,9.222746849E0,-1.197137356E0,7.302538157E-1
4.401726500E-1,9.251478195E0,-1.199531674E0,7.709565163E-1
4.421739830E-1,9.229928970E0,-1.206714511E0,7.853221297E-1
4.441753490E-1,9.196409225E0,-1.189954638E0,8.044763207E-1
4.461766820E-1,9.244295120E0,-1.139674783E0,8.451790214E-1
4.481780150E-1,9.287391663E0,-1.103760719E0,8.906702399E-1
4.501793810E-1,9.282603264E0,-1.048692346E0,9.289786220E-1
4.521807140E-1,9.244295120E0,-9.792584181E-1,9.696813226E-1
4.541820470E-1,9.253871918E0,-9.672870040E-1,1.048692346E0
4.561834130E-1,9.239506721E0,-9.481328130E-1,1.125309110E0
4.581837130E-1,9.210775375E0,-9.840469360E-1,1.154040456E0
4.601850460E-1,9.107821465E0,-1.053480864E0,1.254600048E0
4.621864120E-1,9.074301720E0,-1.063058019E0,1.266571403E0
4.641877450E-1,9.103033066E0,-1.034326673E0,1.254600048E0
4.661890780E-1,9.138946533E0,-1.005595446E0,1.252205729E0
4.681897440E-1,9.143735886E0,-9.433442950E-1,1.268965602E0
4.701910770E-1,9.122186661E0,-9.026415944E-1,1.280937076E0
4.721924100E-1,9.035993576E0,-8.475732803E-1,1.292908430E0
4.741937760E-1,8.933039665E0,-7.853221297E-1,1.261782765E0
4.761951090E-1,8.870788574E0,-7.541965842E-1,1.264177084E0
4.781964420E-1,8.760651588E0,-7.470137477E-1,1.237840056E0
4.801978080E-1,8.715160370E0,-7.541965842E-1,1.213897347E0
4.821984410E-1,8.667274475E0,-7.757450342E-1,1.187560320E0
4.841997740E-1,8.645726204E0,-8.116591573E-1,1.180377483E0
4.862011400E-1,8.643332481E0,-8.356019258E-1,1.170800328E0
4.882024730E-1,8.638543129E0,-8.786988258E-1,1.122914910E0
4.902038060E-1,8.645726204E0,-9.074301720E-1,1.055875182E0
4.922051390E-1,8.681640625E0,-9.265843630E-1,9.888355136E-1
4.942064720E-1,8.696005821E0,-9.888355136E-1,8.451790214E-1
4.962078050E-1,8.739103317E0,-1.000806928E0,6.799740195E-1
4.982091380E-1,8.777411461E0,-1.007989645E0,6.033572555E-1
