"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.822605480E-1,6.945791245E0,-4.142095447E-1,2.116539001E0
3.842631480E-1,7.005648136E0,-4.166038036E-1,2.073441982E0
3.862664480E-1,7.127756119E0,-4.285751879E-1,2.020767927E0
3.882677810E-1,7.194795609E0,-4.285751879E-1,1.977671027E0
3.902688470E-1,7.362394810E0,-4.357580245E-1,1.908236980E0
3.922701470E-1,7.537177086E0,-4.764606953E-1,1.831620216E0
3.942715130E-1,7.592245579E0,-4.956148863E-1,1.800494671E0
3.962728460E-1,7.819701672E0,-5.506832004E-1,1.745426297E0
3.982742120E-1,8.039975166E0,-6.440598965E-1,1.668809533E0
4.002749780E-1,8.142929077E0,-7.254652381E-1,1.640078187E0
4.022763110E-1,8.348835945E0,-8.547561169E-1,1.599375606E0
4.042776440E-1,8.600234985E0,-9.864411950E-1,1.573038578E0
4.062792440E-1,8.724737167E0,-1.089395046E0,1.532335877E0
4.082805770E-1,8.992896080E0,-1.271359921E0,1.537124395E0
4.102816770E-1,9.148524284E0,-1.362342358E0,1.539518714E0
4.122830770E-1,9.404711723E0,-1.573038578E0,1.563461423E0
4.142880100E-1,9.665687561E0,-1.743032098E0,1.608952641E0
4.162893760E-1,9.787795067E0,-1.845985889E0,1.649655342E0
4.182904090E-1,1.000806904E1,-2.047105074E0,1.716695070E0
4.202917750E-1,1.021637058E1,-2.238646984E0,1.836408734E0
4.222931410E-1,1.032411289E1,-2.329629421E0,1.903448462E0
4.242945740E-1,1.052762604E1,-2.478074312E0,2.025556564E0
4.262959400E-1,1.071437931E1,-2.612153769E0,2.176395893E0
4.282972730E-1,1.081254482E1,-2.688770533E0,2.264983892E0
4.302986730E-1,1.098493290E1,-2.789330244E0,2.394274712E0
4.323000390E-1,1.106633854E1,-2.873129845E0,2.468497276E0
4.362998380E-1,1.137759399E1,-2.880312681E0,2.822849989E0
4.383012040E-1,1.149730778E1,-2.858764172E0,2.976083517E0
4.403066700E-1,1.155716419E1,-2.822849989E0,3.067065954E0
4.443052360E-1,1.170560932E1,-2.662433624E0,3.308887720E0
4.483066680E-1,1.186363125E1,-2.317657948E0,3.632114887E0
4.503082680E-1,1.190433407E1,-2.209915638E0,3.696760416E0
4.523096340E-1,1.196897984E1,-1.975276709E0,3.835628271E0
4.543109670E-1,1.202165413E1,-1.704723716E0,3.969707727E0
